,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hobart,-42.88,147.33,44.6,70,75,17.22,AU,1596611250
1,Rikitea,-23.12,-134.97,72.9,90,96,12.01,PF,1596611252
2,Ilulissat,69.22,-51.1,42.8,87,98,8.05,GL,1596611253
3,Khovd,48.01,91.64,71.13,43,61,7.7,MN,1596611066
4,Hilo,19.73,-155.09,75.2,73,90,5.82,US,1596611256
5,Butaritari,3.07,172.79,83.8,76,49,14.94,KI,1596611256
6,Bambanglipuro,-7.95,110.28,80.6,68,39,13.0,ID,1596611258
7,Pacific Grove,36.62,-121.92,60.01,93,25,3.0,US,1596610975
8,Jamestown,42.1,-79.24,61.0,93,20,9.17,US,1596611260
9,Bredasdorp,-34.53,20.04,35.6,93,4,4.7,ZA,1596611261
10,Ganzhou,28.82,115.43,93.52,57,42,7.29,CN,1596611262
11,Swan Hill,-35.34,143.55,50.61,49,0,8.66,AU,1596611263
12,Vaini,-21.2,-175.2,64.4,93,20,3.36,TO,1596611264
13,Barrow,71.29,-156.79,44.6,87,90,8.05,US,1596611266
14,Phatthalung,7.5,100.08,91.4,66,20,8.05,TH,1596611268
15,Punta Arenas,-53.15,-70.92,37.4,78,100,10.29,CL,1596611269
16,Puerto del Rosario,28.5,-13.86,71.6,78,75,13.87,ES,1596611270
17,Bluff,-46.6,168.33,46.99,90,34,6.26,NZ,1596611271
18,Chanika,-5.42,38.02,70.34,71,95,5.82,TZ,1596611272
19,Namanga,-2.54,36.79,68.58,58,58,7.7,KE,1596611276
20,Ushuaia,-54.8,-68.3,48.2,39,40,4.7,AR,1596611186
21,Aksu,41.12,80.26,95.0,14,42,3.27,CN,1596611278
22,Arraial do Cabo,-22.97,-42.03,67.19,70,0,8.48,BR,1596611279
23,Ixtapa,20.7,-105.2,82.0,94,93,3.02,MX,1596611280
24,Toguchin,55.24,84.39,76.23,52,1,14.29,RU,1596611281
25,Albany,42.6,-73.97,66.99,88,2,4.38,US,1596611282
26,Port Alberni,49.24,-124.8,64.0,70,0,3.56,CA,1596611283
27,Hermanus,-34.42,19.23,42.01,89,0,1.99,ZA,1596611284
28,São Filipe,14.9,-24.5,75.9,79,41,3.65,CV,1596611285
29,Qaanaaq,77.48,-69.36,29.23,86,2,4.38,GL,1596611287
30,Mar del Plata,-38.0,-57.56,59.0,100,100,3.36,AR,1596611022
31,Culaman,5.96,125.66,82.83,78,28,12.46,PH,1596611288
32,Luwuk,-0.95,122.79,82.13,74,85,5.79,ID,1596611291
33,Ribeira Grande,38.52,-28.7,69.8,88,40,9.17,PT,1596611292
34,Thompson,55.74,-97.86,66.2,72,75,4.7,CA,1596611294
35,East London,-33.02,27.91,53.6,76,20,9.17,ZA,1596611295
36,Luba,3.46,8.55,75.2,100,20,5.82,GQ,1596611297
37,Hervey Bay,-25.3,152.85,71.01,77,9,3.0,AU,1596611298
38,Hong Kong,22.29,114.16,86.0,74,100,11.99,HK,1596611299
39,Trelew,-43.25,-65.31,49.24,56,93,15.84,AR,1596611300
40,Busselton,-33.65,115.33,63.0,77,27,3.0,AU,1596611301
41,Nantucket,41.28,-70.1,72.0,94,1,12.75,US,1596611295
42,Chute-aux-Outardes,49.12,-68.4,60.8,87,90,19.46,CA,1596611304
43,Guabito,9.5,-82.62,78.06,81,100,2.77,PA,1596611305
44,Krasnyy Yar,46.53,48.35,66.2,82,75,8.95,RU,1596611306
45,Oriximiná,-1.77,-55.87,74.44,88,37,3.58,BR,1596611308
46,Hasaki,35.73,140.83,93.0,74,20,12.75,JP,1596611309
47,Tighnabruaich,55.9,-5.24,59.0,87,90,10.29,GB,1596611310
48,Westlock,54.15,-113.87,64.4,77,1,10.29,CA,1596611312
49,Morón,-34.65,-58.62,69.8,64,48,14.99,AR,1596611313
50,Guerrero Negro,27.98,-114.06,68.13,87,0,10.31,MX,1596611374
51,Pisco,-13.7,-76.22,60.8,82,90,10.29,PE,1596611376
52,Bodaybo,57.85,114.19,77.29,53,99,3.31,RU,1596611377
53,Saint Paul Harbor,57.79,-152.41,59.0,62,1,13.87,US,1596611378
54,Mataura,-46.19,168.86,46.99,90,15,3.44,NZ,1596611380
55,Tuku,23.68,120.39,98.01,64,100,5.99,TW,1596611381
56,Lüderitz,-26.65,15.16,51.8,66,0,14.99,NA,1596611382
57,Cabatuan,10.88,122.49,83.64,82,100,6.73,PH,1596611384
58,Yellowknife,62.46,-114.35,59.0,100,75,9.17,CA,1596611385
59,Mount Isa,-20.73,139.5,86.0,15,0,9.17,AU,1596611162
60,Airai,-8.93,125.41,72.21,58,29,1.92,TL,1596611388
61,Margate,51.38,1.39,66.99,72,0,4.0,GB,1596611389
62,Mersing,2.43,103.84,87.8,79,40,4.7,MY,1596611390
63,Touros,-5.2,-35.46,69.8,88,40,4.7,BR,1596611391
64,Goma,-1.68,29.22,66.2,59,75,9.17,CD,1596611392
65,Baisha,26.52,110.93,92.84,52,26,4.61,CN,1596611393
66,George Town,5.41,100.34,89.6,66,20,9.17,MY,1596611130
67,Kapaa,22.08,-159.32,80.6,74,90,18.34,US,1596611397
68,Ambāgarh Chauki,20.78,80.72,82.31,80,100,6.44,IN,1596611398
69,Havøysund,71.0,24.66,50.0,93,75,4.7,NO,1596611400
70,Mujiayingzi,42.12,118.78,84.74,33,98,5.48,CN,1596611401
71,Bethel,41.37,-73.41,69.8,83,1,4.7,US,1596611402
72,Tuy Hoa,13.08,109.3,90.5,62,72,7.34,VN,1596611306
